,,Micro (model.h),,,,,,,,,,Mobile (model.tflite),,,,,,,,
Sample,Hb 67/97,TFL w/o q,TFL w q,"% diff C,D","% diff B,C","% diff B,D","diff B,C",Class H,"diff B,D",Class J,TF,TFL w/o q,TFL w q,"% diff M,N","% diff B,M","% diff B,N","diff B,M",Class R,"diff B,N",Class T
2964,13.6,12.82,12.74,0.624024961,5.735294118,6.323529412,0.78,A,0.86,A,12.8,12.8,12.7,0.78125,5.882352941,6.617647059,0.8,A,0.9,A
2695,10.8,11.8,11.82,0.169491525,9.259259259,9.444444444,1,A,1.02,B,11.8,11.8,11.8,0,9.259259259,9.259259259,1,A,1,A
118,13.1,12.84,12.8,0.31152648,1.984732824,2.290076336,0.26,A,0.3,A,12.8,12.8,12.8,0,2.290076336,2.290076336,0.3,A,0.3,A
328,15.1,13.32,13.37,0.375375375,11.78807947,11.45695364,1.78,B,1.73,B,13.3,13.3,13.4,0.751879699,11.9205298,11.25827815,1.8,B,1.7,B
2984,12.2,12.98,12.97,0.077041602,6.393442623,6.31147541,0.78,A,0.77,A,13,13,13,0,6.557377049,6.557377049,0.8,A,0.8,A
3464,13.8,13.78,13.72,0.435413643,0.144927536,0.579710145,0.02,A,0.08,A,13.8,13.8,13.7,0.724637681,0,0.724637681,0,A,0.1,A
2199,14.1,13.47,13.43,0.296956199,4.468085106,4.75177305,0.63,A,0.67,A,13.5,13.5,13.4,0.740740741,4.255319149,4.964539007,0.6,A,0.7,A
583,12.6,12,12.05,0.416666667,4.761904762,4.365079365,0.6,A,0.55,A,12,12,12.1,0.833333333,4.761904762,3.968253968,0.6,A,0.5,A
612,14.7,12.78,12.8,0.156494523,13.06122449,12.92517007,1.92,B,1.9,B,12.8,12.8,12.8,0,12.92517007,12.92517007,1.9,B,1.9,B
6750,15.6,13.98,14,0.143061516,10.38461538,10.25641026,1.62,B,1.6,B,14,14,14,0,10.25641026,10.25641026,1.6,B,1.6,B
6723,12,12.83,12.86,0.233826968,6.916666667,7.166666667,0.83,A,0.86,A,12.8,12.8,12.9,0.78125,6.666666667,7.5,0.8,A,0.9,A
2996,11.4,13.56,13.55,0.073746313,18.94736842,18.85964912,2.16,C,2.15,C,13.6,13.6,13.5,0.735294118,19.29824561,18.42105263,2.2,C,2.1,C
742,13.3,13.1,13.14,0.305343511,1.503759398,1.203007519,0.2,A,0.16,A,13.1,13.1,13.1,0,1.503759398,1.503759398,0.2,A,0.2,A
6307,11,13.29,13.26,0.225733634,20.81818182,20.54545455,2.29,C,2.26,C,13.3,13.3,13.3,0,20.90909091,20.90909091,2.3,C,2.3,C
5164,13.6,13.69,13.72,0.219138057,0.661764706,0.882352941,0.09,A,0.12,A,13.7,13.7,13.7,0,0.735294118,0.735294118,0.1,A,0.1,A
4088,15.3,12.68,12.68,0,17.12418301,17.12418301,2.62,C,2.62,C,12.7,12.7,12.7,0,16.99346405,16.99346405,2.6,C,2.6,C
6051,12.5,12.6,12.63,0.238095238,0.8,1.04,0.1,A,0.13,A,12.6,12.6,12.6,0,0.8,0.8,0.1,A,0.1,A
5810,12.8,14.64,14.64,0,14.375,14.375,1.84,B,1.84,B,14.6,14.6,14.6,0,14.0625,14.0625,1.8,B,1.8,B
529,11.8,12.91,12.91,0,9.406779661,9.406779661,1.11,B,1.11,B,12.9,12.9,12.9,0,9.322033898,9.322033898,1.1,B,1.1,B
6640,14.9,14.03,14.06,0.213827512,5.838926174,5.637583893,0.87,A,0.84,A,14,14,14.1,0.714285714,6.040268456,5.369127517,0.9,A,0.8,A
6346,15,13.25,13.32,0.528301887,11.66666667,11.2,1.75,B,1.68,B,13.3,13.3,13.3,0,11.33333333,11.33333333,1.7,B,1.7,B
4973,12.1,12.86,12.91,0.388802488,6.280991736,6.694214876,0.76,A,0.81,A,12.9,12.9,12.9,0,6.611570248,6.611570248,0.8,A,0.8,A
6034,12.3,12.5,12.45,0.4,1.62601626,1.219512195,0.2,A,0.15,A,12.5,12.5,12.5,0,1.62601626,1.62601626,0.2,A,0.2,A
6804,13.2,13.25,13.32,0.528301887,0.378787879,0.909090909,0.05,A,0.12,A,13.2,13.2,13.2,0,0,0,0,A,0,A
,,,,,,,,,,,,,,,,,,,,
Min,,,,0,0.144927536,0.579710145,0.02,,0.08,,11.8,11.8,11.8,0,0,0,0,,0,
Max,,,,0.624024961,20.81818182,20.54545455,2.62,,2.62,,14.6,14.6,14.6,0.833333333,20.90909091,20.90909091,2.6,,2.6,
Average,,,,0.265048749,7.680277415,7.707004894,1.010833333,,1.01375,,13.125,13.125,13.125,0.252611304,7.667110107,7.667037133,1.008333333,,1.008333333,
Stdev,,,,0.170349097,5.958905191,5.843028161,0.779326187,,0.762363717,,0.624666578,0.624666578,0.616610358,0.357865751,5.969028069,5.845822521,0.777772817,,0.762078663,
A,,,,,,,,15,,14,,,,,,,,15,,15
B,,,,,,,,6,,7,,,,,,,,6,,6
C,,,,,,,,3,,3,,,,,,,,3,,3
% A,,,,,,,,62.5,,58.33333333,,,,,,,,62.5,,62.5
% B,,,,,,,,26.08695652,,30.43478261,,,,,,,,26.08695652,,26.08695652
% C,,,,,,,,13.63636364,,13.63636364,,,,,,,,13.63636364,,13.63636364
